name,address,latlng,count,detailsUrl,Visited,Next to school,Ground cover,Fenced,Hours,Special Features,Fountain,Toilet,Benches,Picnic Tables,Dog Area,Park,Community Centre,Wading Pool,Splash Pad,Water Course,Basketball Court,Ball Hockey,Cricket Pitch,Baseball Field,Football Field,Field Hockey,Field House,Tennis Court,Ultimate Field,Soccer Field,Skateboard Park,Baby Swing,Chin Up Bar,Climbing Boulder,Climbing Ladder,Climbing Ropes,Climbing Wall,Fire Pole,Hand Games,Merry-go-round,Monkey Bars,Playhouse,Sandbox,Seesaw/Teetertotter,Slide,Spinner,Spring Rider,Swing,Talking Tubes,Tire Swing,Toddler Structure,Toddler Swing,Trapeze Ring,Tunnel,Tunnel Slide,Wobbly Bridge,Zipline
Park Site at South East False Creek,"215 W 1st Avenue, Vancouver BC",,1,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=240,Yes,,Rubber,,,,,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
Price Park,"3650 Price Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Edward Park,"3773 Prince Edward Street, Vancouver BC",,1,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=166,Yes,Yes,Wood chips,,,Hammock,,Yes ,,,,Yes,,,Yes,,,,,,,,1,,,1,,1,,,,1,1,,Yes,,,,Yes,,4,1,1,2,,,Yes,1,Yes,1,,,
Quilchena Park,"4590 Magnolia Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrew Community Park,"2929 E 22nd Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley Park (North),"50 E 30th Avenue, Vancouver BC",,2,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=168,Yes,,Sandy gravel,Yes,,Yes - universally accessible,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,2,,,,,,,Yes,,,2,1,,3,,,,,,Yes,,,1,,,
Riley Park (South),"50 E 30th Avenue, Vancouver BC",,,,Yes,,Wood chips,,,,,Yes,Yes,Yes,,,,Yes,,,1,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,Yes
Riverfront Park,"2750 E Kent Street S, Vancouver BC",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverview Park,"1751 W 66th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robson Park,"599 Kingsway, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Park,"7402 Ross Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rupert Park,"1600 Rupert Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slocan Park,"2750 E 29th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Park,"2000 W Georgia Street, Vancouver BC",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strathcona Linear Park,"787 Prior Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strathcona Park,"857 Malkin Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnyside Park,"1100 E 17th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise Park,"1950 Windermere Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunset Park,"404 E 51st Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutcliffe Park,1318 Cartwright St,,1,https://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=47,Yes,,Rubber,,,Waterslide,,Yes at CC,Yes,,,Yes,Yes,,Yes,Yes,1,1,,,,,,2,,,,,,,,Yes,Yes,,Yes,Yes,,,Yes,,2,2,1,1,,,,,,,,,
Tatlow Park,"2845 W 3rd Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tea Swamp Park,"266 E 15th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tecumseh Park,"1751 E 45th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Templeton Park,"700 Templeton Drive, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderbird Park,"3485 E 2nd Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trafalgar Park,"2610 W 23rd Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Park,"1425 Victoria Drive, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.C. Shelley Park,"1500 E 8th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Point Grey Park,"2250 Trimble Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westmount Park,"4651 W 2nd Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Mackie Park,"1592 W 71st Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winona Park,"7575 Columbia Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodland Park,"705 Woodland Drive, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
